Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
DATA SCIENCE FOR BUSINESS X – HEC,35296,Франция,,,
MDI Gurgaon,35297,Индия,,,
SRH Berlin University of Applied Sciences,35298,Германия,,,
LABA Valencia,35299,Испания,,,
Cardiff Business School,35300,Великобритания,,,
Swiss School of Business and Management (SSBM Geneva),35301,Швейцария,,,
University of Zawia,35302,Ливия,,,
Unicaf,35303,Замбия,,,
Swiss School of Business and Management (SSBM Geneva),35304,Швейцария,,,
University of Zawia,35305,Ливия,,,
IM Digital Business School,35306,Испания,,,
"Monash University, Indonesia campus",35307,Индонезия,,,
Synergy University,35308,Россия,,,
BINUS BUSINESS SCHOOL,35309,Индонезия,,,
The Norwegian Film School (NFS),35310,Норвегия,,,
International Business Academy of Switzerland (IBAS),35311,Швейцария,,,
Swiss Educational College,35312,Швейцария,,,
Swiss International Institute Lausanne,35313,Швейцария,,,
Swiss Educational College,35314,Швейцария,,,
Gharyan University,35315,Ливия,,,
Swiss International Institute Lausanne,35316,Швейцария,,,
"Institute of Management Technology, Ghaziabad",35317,Индия,,,
Ivey Business School,35318,Канада,,,
LIM College - The Business of Fashion & Lifestyle,35319,США,,,
Northwest Samar State University,35320,Филиппины,,,
Drexel University - College of Engineering,35321,США,,,
LIM College - The Business of Fashion & Lifestyle,35322,США,,,
Universitas Islam Malang (UNISMA),35323,Индонезия,,,
Koç University Graduate School of Business,35324,Турция,,,
Middle East University of Beirut,35325,Ливан,,,
The Grainger College of Engineering,35326,США,,,
Ferrandi Paris,35327,Франция,,,
"Raffles University, Malaysia",35328,Малайзия,,,
Dongbei University of Finance and Economics,35329,,,,
National University of Tainan,35330,Тайвань,,,
"Vignan's Foundation for Science,Technology & Research",35331,Индия,,,
Muhammad Nawaz Shareef University of Agriculture Multan,35332,Пакистан,,,
IUBATInternational University of Business Agriculture and Technology,35333,Бангладеш,,,
University of Poonch Rawalakot,35334,Пакистан,,,
"Vignan's Foundation for Science,Technology & Research",35335,Индия,,,,1890
University of Poonch Rawalakot,35336,Пакистан,,,
University of Oum El Bouaghi,35337,Алжир,,,
Universität der Künste Berlin,35338,Германия,,,
"Guru Nanak Dev University, Amristar",35339,Индия,,,
"Nanyang Business School, Singapore",35340,Сингапур,,,
Akita University,35341,Япония,,,
Tokyo University of Foreign Studies,35342,Япония,,,
University of Asia Pacific,35343,Бангладеш,,,
Goizueta Business School,35344,США,,,
Foundation University Islamabad,35345,Пакистан,,,
KLE ACADEMY OF HIGHER EDUCATION AND RESEARCH,35346,Индия,,,
British University Vietnam,35347,Вьетнам,,,
Euler-Franeker Memorial University,35348,Кюрасао,,,
Al-Esraa University,35349,Ирак,,,
IEBS Digital Business School,35350,Испания,,,
Alnoor University College,35351,Ирак,,,
"Nilai University, Malaysia",35352,Малайзия,,,
Thunderbird School of Global Management at ASU,35353,США,,,
CamEd Business School,35354,Камбоджа,,,
National Institute of Technology Hamirpur,35355,Индия,,,
Jiangxi University of Finance and Economics,35356,Китай,,,
USAMV Cluj-Napoca,35357,Румыния,,,,1196
Fujian Normal University,35358,Китай,,,
Universidad Autónoma Chapingo,35359,Мексика,,,
University of West Attica,35360,,,,
Ajeenkya DY Patil University,35361,Индия,,,
University of Al-Hamdaniya,35362,Ирак,,,
Al-Manara College for Medical Sciences,35363,Ирак,,,
Al-Mustaqbal University,35364,Ирак,,,
Al-Noor University College,35365,Ирак,,,
"Amity University, Gurugram",35366,Индия,,,
University of West Attica,35367,,,,,1891
AECC University College,35368,Великобритания,,,
Ajeenkya DY Patil University,35369,Индия,,,
Tashkent Metropolitan University,35370,Узбекистан,,,
Alex Ekwueme Federal University Ndufu-Alike,35371,Нигерия,,,
Al-Farahidi University,35372,Ирак,,,
University of Al-Hamdaniya,35373,Ирак,,,
Al-Esraa University College,35374,Ирак,,,
Al-Manara College for Medical Sciences,35375,Ирак,,,
Al-Mustaqbal University,35376,Ирак,,,
Al-Noor University College,35377,Ирак,,,
"Amity University, Gurugram",35378,Индия,,,
"Amity University, Gwalior",35379,Индия,,,
"Amity University, Mumbai",35380,Индия,,,
Ashur University,35381,Ирак,,,
"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",35382,Нигерия,,,
Barawa International University,35383,Сомали,,,
Baze University,35384,Нигерия,,,
Ashur University,35385,Ирак,,,
Augustine University,35386,Нигерия,,,
Bandirma Onyedi Eylül University,35387,Турция,,,
Barawa International University,35388,Сомали,,,
University of Batna 1,35389,Алжир,,,
Catholic University in Erbil,35390,Ирак,,,
Universidad Católica de Colombia,35391,,,,
CECOS University of IT and Emerging Sciences,35392,Пакистан,,,
Centro Universitário de Jaguariúna,35393,Бразилия,,,
Centro Universitário Max Planck,35394,Бразилия,,,
University of Civil Protection,35395,,,,
C.V. Raman Global University,35396,Индия,,,
Denau Institute of Entrepreneurship and Pedagogy,35397,Узбекистан,,,
DHA Suffa University,35398,Пакистан,,,
Edo State University Uzairue,35399,Нигерия,,,
Federal University of Kashere,35400,Нигерия,,,
University of Civil Protection,35401,,,,
Coal City University,35402,Нигерия,,,
University of Constantine 3,35403,Алжир,,,
Cihan University – Erbil,35404,Ирак,,,
C.V. Raman Global University,35405,Индия,,,
Universidad del Sinú,35406,Колумбия,,,
Dijlah University,35407,Ирак,,,
Denau Institute of Entrepreneurship and Pedagogy,35408,Узбекистан,,,
DHA Suffa University,35409,Пакистан,,,
Edo State University Uzairue,35410,Нигерия,,,
"University of Engineering and Technology, Mardan",35411,Пакистан,,,
Universidade Estadual de Goiás,35412,Бразилия,,,
European University of Valencia,35413,Испания,,,
Federal University Gashua,35414,Нигерия,,,
Federal University of Kashere,35415,Нигерия,,,
Federal University of Latin American Integration (UNILA),35416,Бразилия,,,
"Federal University of Technology, Minna",35417,Нигерия,,,
"Federal University of Technology, Owerri",35418,Нигерия,,,
First Technical University,35419,Нигерия,,,
Fundação Oswaldo Cruz,35420,Бразилия,,,
Gomel State Medical University,35421,,,,
Japan Advanced Institute of Science and Technology (JAIST),35422,Япония,,,
Khomein University of Medical Sciences,35423,Иран,,,
Kings University,35424,Нигерия,,,
Kocaeli Health and Technology University,35425,Турция,,,
Malawi University of Science and Technology (MUST),35426,Малави,,,
Marian College Kuttikkanam (Autonomous),35427,Индия,,,
MIOTI Tech and Business School,35428,Испания,,,
M. Kumarasamy College of Engineering,35429,Индия,,,
Russian Biotechnological University (BIOTECH),35430,,,,
Kings University,35431,Нигерия,,,
Kocaeli Health and Technology University,35432,Турция,,,
Kokshetau State University,35433,Казахстан,,,
Malawi University of Science and Technology (MUST),35434,Малави,,,
Marian College Kuttikkanam (Autonomous),35435,Индия,,,
Michael and Cecilia Ibru University,35436,Нигерия,,,
M. Kumarasamy College of Engineering,35437,Индия,,,
Russian Biotechnological University (BIOTECH),35438,,,,
Universidad Nacional de Itapúa,35439,Парагвай,,,
"Nigerian Police Academy, Wudil",35440,Нигерия,,,
Oguz Han Engineering and Technology University of Turkmenistan,35441,Туркменистан,,,
Olusegun Agagu University of Science and Technology,35442,Нигерия,,,
Pharos University,35443,Египет,,,
Nara Institute of Science and Technology,35444,Япония,,,
Olusegun Agagu University of Science and Technology,35445,Нигерия,,,
Rajamangala University of Technology Isan,35446,Таиланд,,,
Salahaddin University,35447,Ирак,,,
SR University,35448,Индия,,,
